iter	Passed	Remaining
0	1	114
1	2	101
2	2	91
3	3	82
4	4	80
5	4	77
6	5	75
7	6	73
8	7	72
9	7	70
10	8	69
11	9	68
12	10	68
13	11	68
14	12	68
15	12	67
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	24	54
31	25	53
32	26	53
33	27	52
34	28	52
35	29	51
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
