iter	Passed	Remaining
0	134	134662
1	136	68035
2	137	45676
3	138	34472
4	139	27748
5	140	23241
6	141	20023
7	141	17605
8	142	15726
9	143	14222
10	144	12992
11	145	11971
12	146	11113
13	147	10369
14	148	9730
15	148	9161
16	149	8660
17	150	8210
18	151	7811
19	152	7453
20	152	7131
21	153	6835
22	154	6562
23	155	6313
24	155	6083
25	156	5869
26	157	5672
27	158	5490
28	158	5319
29	159	5168
30	160	5021
31	161	4881
32	162	4751
33	162	4629
34	163	4515
35	164	4404
36	165	4299
37	165	4201
38	166	4106
39	167	4016
40	168	3931
41	168	3851
42	169	3776
43	170	3701
44	171	3631
45	171	3564
46	172	3499
47	173	3437
48	174	3385
49	175	3330
50	176	3277
51	176	3225
52	177	3176
53	178	3127
54	179	3083
55	180	3037
56	180	2993
57	181	2950
58	182	2908
59	183	2868
60	183	2829
61	184	2791
62	185	2755
63	185	2719
64	186	2685
65	187	2652
66	188	2622
67	189	2592
68	189	2562
69	190	2534
70	191	2505
71	192	2477
72	192	2450
73	193	2427
74	194	2403
75	195	2378
76	196	2353
77	197	2329
78	197	2305
79	198	2282
80	199	2260
81	199	2238
82	200	2213
83	201	2192
84	201	2173
85	202	2154
86	203	2137
87	204	2118
88	205	2100
89	205	2082
90	206	2065
91	207	2047
92	208	2031
93	208	2014
94	209	1997
95	210	1981
96	211	1966
97	211	1950
98	212	1934
99	213	1920
100	214	1905
101	214	1891
102	215	1877
103	216	1863
104	217	1849
105	217	1837
106	218	1826
107	219	1813
108	220	1801
109	221	1789
110	221	1777
111	222	1765
112	223	1753
113	224	1741
114	224	1730
115	225	1718
116	226	1706
117	226	1695
118	227	1684
119	228	1673
120	228	1663
121	229	1652
122	230	1642
123	231	1632
124	231	1622
125	232	1612
126	233	1603
127	234	1595
128	235	1588
129	236	1579
130	236	1571
131	237	1563
132	238	1554
133	239	1546
134	240	1537
135	240	1529
136	241	1520
137	242	1512
138	242	1504
139	243	1496
140	244	1488
141	244	1479
142	245	1471
143	246	1464
144	247	1457
145	248	1450
146	248	1443
147	249	1436
148	250	1428
149	250	1421
150	251	1415
151	252	1408
152	253	1402
153	253	1395
154	254	1388
155	255	1382
156	256	1375
157	256	1369
158	257	1363
159	258	1357
160	258	1349
161	259	1343
162	260	1337
163	261	1331
164	261	1325
165	262	1320
166	263	1314
167	264	1309
168	265	1304
169	266	1299
170	266	1294
171	267	1288
